公司,代號,股價 (50 Days ago),股價 (Today),漲幅
南亞,1303,77.50,79.00,1.94%
中鋼,2002,29.30,29.85,1.88%
聯電,2303,49.85,53.80,7.92%
台積電,2330,501.00,583.00,16.37%
富邦金,2881,58.80,61.30,4.25%
台塑,1301,93.90,91.60,-2.45%
仁寶,2324,24.30,28.55,17.49%
友達,2409,17.30,20.20,16.76%
華南金,2880,21.90,22.35,2.05%
國泰金,2882,42.50,43.90,3.29%
兆豐金,2886,34.10,37.00,8.50%
台新金,2887,17.35,18.90,8.93%
中信金,2891,22.90,25.05,9.39%
統一,1216,73.90,78.80,6.63%
遠東新,1402,32.25,32.95,2.17%
華新,1605,50.40,46.80,-7.14%
中環,2323,8.03,13.60,69.36%
佳世達,2352,35.55,47.05,32.35%
大同,2371,33.65,46.20,37.30%
南亞科,2408,66.70,78.00,16.94%
長榮,2603,155.50,162.00,4.18%
陽明,2609,61.90,63.50,2.58%
華航,2610,19.00,27.90,46.84%
彰銀,2801,18.00,18.90,5.00%
新光金,2888,8.44,9.01,6.75%
永豐金,2890,16.85,17.25,2.37%
台泥,1101,39.90,38.70,-3.01%
台化,1326,69.30,67.80,-2.16%
鴻海,2317,106.00,112.50,6.13%
旺宏,2337,32.80,34.90,6.40%
華碩,2357,286.00,311.00,8.74%
廣達,2382,89.60,150.00,67.41%
中華電,2412,125.50,125.50,0.00%
玉山金,2884,24.90,26.30,5.62%
元大金,2885,22.70,24.40,7.49%
第一金,2892,27.20,27.80,2.21%
群創,3481,13.90,16.10,15.83%
宏碁,2353,30.65,31.85,3.92%
聯發科,2454,671.00,785.00,16.99%
潤泰全,2915,57.50,59.80,4.00%
緯創,3231,50.10,78.40,56.49%
亞泥,1102,44.25,44.05,-0.45%
大成,1210,51.80,52.40,1.16%
國喬,1312,20.10,19.35,-3.73%
中石化,1314,10.05,9.87,-1.79%
東陽,1319,48.55,53.60,10.40%
南紡,1440,16.95,16.60,-2.06%
東元,1504,46.25,55.80,20.65%
亞德客-KY,1590,"1,080.00","1,030.00",-4.63%
中纖,1718,8.43,8.20,-2.73%
台肥,1722,59.50,61.80,3.87%
東和鋼鐵,2006,57.10,58.90,3.15%
中鴻,2014,24.20,24.90,2.89%
大成鋼,2027,44.85,47.90,6.80%
上銀,2049,235.00,245.00,4.26%
川湖,2059,414.00,461.00,11.35%
正新,2105,37.95,41.20,8.56%
裕隆,2201,80.00,83.40,4.25%
光寶科,2301,75.90,107.00,40.97%
台達電,2308,298.00,375.50,26.01%
華通,2313,43.30,43.25,-0.12%
精英,2331,25.55,29.30,14.68%
友訊,2332,17.90,19.95,11.45%
台亞,2340,35.00,38.80,10.86%
華邦電,2344,25.55,28.55,11.74%
聯強,2347,61.20,58.70,-4.08%
鴻準,2354,53.80,56.50,5.02%
技嘉,2376,135.00,252.50,87.04%
微星,2377,143.00,174.00,21.68%
瑞昱,2379,363.50,400.00,10.04%
正崴,2392,42.45,41.70,-1.77%
億光,2393,40.20,48.95,21.77%
凌陽,2401,23.95,30.75,28.39%
漢唐,2404,217.50,217.50,0.00%
京元電子,2449,46.50,56.00,20.43%
全新,2455,96.30,127.00,31.88%
義隆,2458,95.10,102.50,7.78%
可成,2474,182.50,187.50,2.74%
強茂,2481,67.00,67.80,1.19%
兆赫,2485,19.30,20.65,6.99%
瑞軒,2489,11.50,14.55,26.52%
華新科,2492,95.90,95.30,-0.63%
宏達電,2498,57.50,58.90,2.43%
中工,2515,10.35,11.20,8.21%
冠德,2520,29.55,29.80,0.85%
興富發,2542,42.20,42.30,0.24%
華固,2548,94.70,91.10,-3.80%
新興,2605,22.20,21.20,-4.50%
長榮航,2618,27.05,40.70,50.46%
臺企銀,2834,14.05,14.10,0.36%
農林,2913,24.70,23.80,-3.64%
晶豪科,3006,80.30,88.10,9.71%
大立光,3008,"1,990.00","2,150.00",8.04%
亞光,3019,64.20,67.20,4.67%
聯詠,3034,425.50,455.00,6.93%
智原,3035,170.00,196.50,15.59%
文曄,3036,67.10,67.80,1.04%
欣興,3037,143.50,185.50,29.27%
晶技,3042,85.90,94.50,10.01%
景碩,3189,106.50,114.50,7.51%
新日興,3376,87.60,90.60,3.42%
明泰,3380,35.85,39.30,9.62%
創意,3443,"1,095.00","1,700.00",55.25%
嘉澤,3533,925.00,885.00,-4.32%
健策,3653,476.00,646.00,35.71%
TPK-KY,3673,37.50,42.50,13.33%
大聯大,3702,50.30,54.20,7.75%
和碩,4938,70.50,77.10,9.36%
長虹,5534,79.70,80.70,1.25%
嘉聯益,6153,23.10,23.80,3.03%
瑞儀,6176,113.00,123.00,8.85%
聯茂,6213,70.40,71.00,0.85%
力成,6239,92.40,102.00,10.39%
同欣電,6271,170.50,188.00,10.26%
台表科,6278,98.60,100.00,1.42%
康舒,6282,43.20,46.65,7.99%
啟碁,6285,94.90,95.60,0.74%
台虹,8039,41.55,43.65,5.05%
達方,8163,44.40,47.35,6.64%
寶成,9904,31.55,31.80,0.79%
宏全,9939,100.00,106.00,6.00%
潤泰新,9945,35.50,36.30,2.25%
聚陽,1477,225.50,260.00,15.30%
台玻,1802,19.50,20.10,3.08%
廣宇,2328,38.10,40.75,6.96%
健鼎,3044,117.00,121.00,3.42%
台灣大,3045,103.00,103.50,0.49%
玉晶光,3406,378.00,398.50,5.42%
台郡,6269,93.30,92.20,-1.18%
美利達,9914,169.00,202.00,19.53%
合庫金,5880,27.20,28.10,3.31%
英業達,2356,33.05,44.10,33.43%
開發金,2883,13.20,12.70,-3.79%
遠傳,4904,76.70,82.00,6.91%
臻鼎-KY,4958,112.00,106.50,-4.91%
中租-KY,5871,225.00,207.00,-8.00%
儒鴻,1476,487.50,496.00,1.74%
國巨,2327,502.00,498.00,-0.80%
南電,8046,277.50,278.00,0.18%
葡萄王,1707,182.50,177.00,-3.01%
敬鵬,2355,32.10,31.90,-0.62%
致茂,2360,191.50,258.00,34.73%
美律,2439,85.70,93.00,8.52%
矽格,6257,52.20,55.90,7.09%
百和,9938,56.80,54.90,-3.35%
精華,1565,251.00,232.00,-7.57%
穩懋,3105,167.50,178.00,6.27%
璟德,3152,214.00,225.00,5.14%
順達,3211,76.60,79.00,3.13%
威剛,3260,75.80,92.50,22.03%
欣銓,3264,53.90,65.50,21.52%
碩禾,3691,107.50,102.00,-5.12%
晟德,4123,51.30,52.80,2.92%
榮剛,5009,57.70,60.60,5.03%
世界,5347,87.50,89.30,2.06%
中光電,5371,76.20,72.30,-5.12%
中美晶,5483,150.00,162.00,8.00%
新普,6121,310.50,325.00,4.67%
頎邦,6147,65.30,64.20,-1.68%
網家,8044,56.20,52.80,-6.05%
元太,8069,197.50,227.50,15.19%
群聯,8299,393.00,422.00,7.38%
森鉅,8942,67.40,75.00,11.28%
元大台灣50ETF,0050,117.70,131.25,11.51%
元大寶滬深ETF,0061,19.10,18.35,-3.93%
富邦上証ETF,006205,32.15,30.36,-5.57%
元大上證50ETF,006206,30.34,28.65,-5.57%
復華滬深ETF,006207,25.21,24.01,-4.76%
為升,2231,179.00,168.50,-5.87%
彩晶,6116,12.45,13.95,12.05%
胡連,6279,138.50,175.50,26.71%
國泰中國A50ETF,00636,21.61,20.58,-4.77%
富邦深100ETF,00639,12.69,12.15,-4.26%
群益深証中小ETF,00643,14.77,14.30,-3.18%
智邦,2345,298.00,364.50,22.32%
樺漢,6414,254.50,273.00,7.27%
和大,1536,71.00,71.70,0.99%
榮成,1909,17.20,16.60,-3.49%
聯亞,3081,103.50,101.00,-2.42%
同致,3552,141.50,149.00,5.30%
台燿,6274,65.60,74.60,13.72%
環球晶,6488,491.00,511.00,4.07%
精測,6510,478.00,576.00,20.50%
日月光投控,3711,100.50,126.50,25.87%
原相,3227,104.00,113.50,9.13%
智擎,4162,100.50,94.40,-6.07%
泰博,4736,185.00,188.50,1.89%
台半,5425,95.20,97.00,1.89%
元大高股息ETF,0056,28.44,32.73,15.08%
台灣高鐵,2633,31.20,32.35,3.69%
祥碩,5269,"1,155.00","1,180.00",2.16%
力旺,3529,"1,880.00","2,290.00",21.81%
台光電,2383,160.00,241.50,50.94%
信昌電,6173,38.70,43.50,12.40%
合晶,6182,44.00,46.25,5.11%
大江,8436,214.00,176.50,-17.52%
神盾,6462,83.60,100.50,20.22%
宣德,5457,53.80,54.30,0.93%
金居,8358,55.20,59.80,8.33%
宏捷科,8086,84.30,89.30,5.93%
神達,3706,28.35,35.40,24.87%
雙鴻,3324,249.00,286.50,15.06%
緯穎,6669,"1,210.00","1,215.00",0.41%
鈊象,3293,534.00,609.00,14.04%
信驊,5274,"2,815.00","2,770.00",-1.60%
富采,3714,50.10,53.80,7.39%
裕民,2606,54.00,48.60,-10.00%
台勝科,3532,150.50,168.00,11.63%
永豐餘,1907,31.35,33.75,7.66%
精材,3374,99.40,129.00,29.78%
長興,1717,32.70,32.90,0.61%
正隆,1904,32.00,32.55,1.72%
僑威,3078,56.90,82.00,44.11%
超豐,2441,53.90,56.60,5.01%
南茂,8150,37.35,38.75,3.75%
光罩,2338,81.80,81.40,-0.49%
威盛,2388,75.40,81.60,8.22%
萬海,2615,63.20,61.10,-3.32%
高端疫苗,6547,65.60,61.00,-7.01%
力積電,6770,30.90,31.85,3.07%
奇鋐,3017,166.00,254.50,53.31%
中磊,5388,82.90,98.50,18.82%
漢翔,2634,57.40,63.90,11.32%
中天,4128,63.70,57.20,-10.20%
新唐,4919,131.00,130.50,-0.38%
國泰永續高股息ETF,00878,17.68,19.28,9.05%
大亞,1609,29.20,38.15,30.65%
金像電,2368,98.20,140.00,42.57%
元晶,6443,37.35,35.20,-5.76%
富邦媒,8454,813.00,661.00,-18.70%
合一,4743,248.50,216.00,-13.08%
立端,6245,105.50,112.00,6.16%
寶雅,5904,580.00,564.00,-2.76%
備註,,50天前日期：2023-05-02,今天日期：2023-06-19,
