公司,代號,股價 (50 Days ago),股價 (Today),漲幅
榮剛,5009,56.80,58.00,2.11%
世界,5347,85.60,90.30,5.49%
中光電,5371,73.50,71.40,-2.86%
中美晶,5483,146.50,164.00,11.95%
新普,6121,310.50,321.50,3.54%
頎邦,6147,67.30,64.90,-3.57%
網家,8044,56.50,52.60,-6.90%
元太,8069,173.50,228.50,31.70%
群聯,8299,389.50,429.00,10.14%
元大台灣50ETF,0050,116.00,131.55,13.41%
元大寶滬深ETF,0061,18.93,18.37,-2.96%
富邦上証ETF,006205,31.67,30.50,-3.69%
元大上證50ETF,006206,29.90,29.03,-2.91%
復華滬深ETF,006207,24.78,24.19,-2.38%
為升,2231,172.50,169.00,-2.03%
彩晶,6116,12.40,13.45,8.47%
胡連,6279,134.50,167.00,24.16%
國泰中國A50ETF,00636,21.30,20.78,-2.44%
富邦深100ETF,00639,12.50,12.21,-2.32%
群益深証中小ETF,00643,14.55,14.32,-1.58%
智邦,2345,289.00,363.00,25.61%
樺漢,6414,246.50,272.50,10.55%
和大,1536,69.20,72.70,5.06%
榮成,1909,17.25,16.60,-3.77%
聯亞,3081,105.50,101.50,-3.79%
同致,3552,141.00,151.50,7.45%
台燿,6274,65.00,77.30,18.92%
環球晶,6488,482.00,513.00,6.43%
精測,6510,462.00,584.00,26.41%
日月光投控,3711,101.00,125.50,24.26%
原相,3227,102.00,114.50,12.25%
智擎,4162,96.00,94.10,-1.98%
泰博,4736,181.50,188.00,3.58%
台半,5425,92.10,97.00,5.32%
元大高股息ETF,0056,28.02,32.78,16.99%
台灣高鐵,2633,30.85,32.45,5.19%
祥碩,5269,"1,110.00","1,215.00",9.46%
力旺,3529,"1,795.00","2,290.00",27.58%
台光電,2383,162.00,244.00,50.62%
信昌電,6173,38.45,43.95,14.30%
合晶,6182,43.20,46.65,7.99%
大江,8436,205.00,179.50,-12.44%
神盾,6462,83.70,91.60,9.44%
宣德,5457,52.30,53.70,2.68%
金居,8358,53.50,60.10,12.34%
宏捷科,8086,79.60,90.50,13.69%
神達,3706,28.30,36.45,28.80%
雙鴻,3324,249.00,291.50,17.07%
緯穎,6669,"1,165.00","1,190.00",2.15%
鈊象,3293,523.00,608.00,16.25%
信驊,5274,"2,640.00","2,805.00",6.25%
富采,3714,49.35,52.20,5.78%
裕民,2606,51.90,49.45,-4.72%
台勝科,3532,144.50,166.50,15.22%
永豐餘,1907,31.05,35.00,12.72%
精材,3374,98.10,127.00,29.46%
長興,1717,32.80,32.75,-0.15%
正隆,1904,31.35,32.35,3.19%
僑威,3078,52.30,83.60,59.85%
超豐,2441,52.80,57.20,8.33%
南茂,8150,36.40,39.45,8.38%
光罩,2338,79.50,81.00,1.89%
威盛,2388,73.60,84.60,14.95%
萬海,2615,63.70,62.60,-1.73%
高端疫苗,6547,65.70,61.50,-6.39%
力積電,6770,29.55,32.15,8.80%
奇鋐,3017,153.50,247.00,60.91%
中磊,5388,81.20,97.00,19.46%
漢翔,2634,57.50,58.10,1.04%
中天,4128,61.50,57.50,-6.50%
新唐,4919,129.50,131.50,1.54%
國泰永續高股息ETF,00878,17.45,19.36,10.95%
大亞,1609,27.05,38.50,42.33%
金像電,2368,98.50,139.50,41.62%
元晶,6443,36.80,35.90,-2.45%
富邦媒,8454,804.00,670.00,-16.67%
合一,4743,238.00,216.00,-9.24%
立端,6245,100.50,110.50,9.95%
寶雅,5904,583.00,580.00,-0.51%
備註,,50天前日期：2023-04-27,今天日期：2023-06-16,
