公司,代號,股價 (50 Days ago),股價 (Today),漲幅
拓凱,4536,211.50,210.50,-0.47%
全球傳動,4540,62.50,58.00,-7.20%
銘鈺,4545,45.60,47.25,3.62%
智伸科,4551,108.00,111.00,2.78%
力達-KY,4552,23.35,25.05,7.28%
氣立,4555,43.00,44.55,3.60%
永新-KY,4557,123.50,132.00,6.88%
強信-KY,4560,35.80,35.00,-2.23%
穎漢,4562,66.00,60.90,-7.73%
元翎,4564,21.30,23.05,8.22%
時碩工業,4566,80.00,75.60,-5.50%
六方科-KY,4569,210.50,181.50,-13.78%
鈞興-KY,4571,249.50,226.50,-9.22%
駐龍,4572,152.00,161.00,5.92%
大銀微系統,4576,139.50,156.50,12.19%
光隆精密-KY,4581,51.80,58.70,13.32%
台灣精銳,4583,855.00,790.00,-7.60%
玖鼎電力,4588,85.30,83.70,-1.88%
德淵,4720,18.85,20.35,7.96%
國精化,4722,46.90,63.00,34.33%
泰博,4736,144.50,143.00,-1.04%
華廣,4737,64.50,64.20,-0.47%
康普,4739,53.90,59.60,10.58%
台耀,4746,74.20,74.90,0.94%
三福化,4755,131.50,124.00,-5.70%
材料-KY,4763,885.00,916.00,3.50%
雙鍵,4764,44.50,47.15,5.96%
南寶,4766,322.50,335.50,4.03%
上品,4770,307.00,332.50,8.31%
望隼,4771,175.50,193.00,9.97%
日成-KY,4807,19.50,19.05,-2.31%
遠傳,4904,89.70,89.80,0.11%
正文,4906,33.75,32.85,-2.67%
聯德控股-KY,4912,157.00,140.00,-10.83%
致伸,4915,79.00,88.50,12.03%
事欣科,4916,31.50,51.80,64.44%
新唐,4919,92.70,95.20,2.70%
泰鼎-KY,4927,32.10,41.10,28.04%
燦星網,4930,30.75,31.70,3.09%
太極,4934,14.00,14.45,3.21%
茂林-KY,4935,60.80,58.50,-3.78%
和碩,4938,93.00,96.30,3.55%
嘉彰,4942,41.05,41.40,0.85%
康控-KY,4943,14.30,17.00,18.88%
有成精密,4949,22.65,29.30,29.36%
凌通,4952,54.50,54.10,-0.73%
光鋐,4956,33.80,30.70,-9.17%
臻鼎-KY,4958,123.00,121.00,-1.63%
誠美材,4960,13.15,13.85,5.32%
天鈺,4961,232.50,235.00,1.08%
十銓,4967,78.30,88.20,12.64%
立積,4968,197.50,203.00,2.78%
佳凌,4976,36.90,37.55,1.76%
眾達-KY,4977,150.00,120.50,-19.67%
榮科,4989,18.55,19.10,2.96%
傳奇,4994,104.00,102.50,-1.44%
鑫禾,4999,32.90,32.85,-0.15%
三星,5007,54.50,54.40,-0.18%
訊連,5203,93.00,126.00,35.48%
科嘉-KY,5215,44.55,45.55,2.24%
全訊,5222,124.50,128.50,3.21%
東科-KY,5225,125.00,140.00,12.00%
達興材料,5234,210.00,197.00,-6.19%
乙盛-KY,5243,67.00,60.40,-9.85%
弘凱,5244,46.05,45.80,-0.54%
虹堡,5258,83.70,96.00,14.70%
祥碩,5269,"2,065.00","2,055.00",-0.48%
禾聯碩,5283,102.50,102.00,-0.49%
jpp-KY,5284,163.00,155.50,-4.60%
界霖,5285,50.30,52.80,4.97%
豐祥-KY,5288,206.50,187.00,-9.44%
華懋,5292,154.00,164.50,6.82%
桂盟,5306,119.50,127.00,6.28%
中磊,5388,120.50,133.00,10.37%
崇越,5434,293.00,297.00,1.37%
瀚宇博,5469,54.00,56.50,4.63%
松翰,5471,40.20,42.00,4.48%
慧友,5484,61.80,56.70,-8.25%
建國,5515,25.70,27.95,8.75%
隆大,5519,34.00,35.00,2.94%
工信,5521,10.55,11.90,12.80%
遠雄,5522,74.40,80.70,8.47%
順天,5525,31.95,32.05,0.31%
鄉林,5531,10.15,10.35,1.97%
皇鼎,5533,20.10,19.85,-1.24%
長虹,5534,84.70,97.00,14.52%
東明-KY,5538,32.35,35.25,8.96%
永固-KY,5546,29.90,29.60,-1.00%
遠雄港,5607,42.70,44.25,3.63%
四維航,5608,16.75,21.30,27.16%
鳳凰,5706,65.80,67.70,2.89%
中租-KY,5871,117.00,127.00,8.55%
上海商銀,5876,40.70,43.80,7.62%
合庫金,5880,24.50,24.35,-0.61%
台南-KY,5906,53.90,56.10,4.08%
大洋-KY,5907,10.45,10.70,2.39%
群益證,6005,27.25,27.50,0.92%
群益期,6024,57.50,56.60,-1.57%
競國,6108,16.40,16.75,2.13%
邁達特,6112,54.10,67.00,23.84%
鎰勝,6115,51.70,52.40,1.35%
彩晶,6116,8.07,8.82,9.29%
迎廣,6117,92.50,91.60,-0.97%
達運,6120,12.75,13.90,9.02%
上福,6128,34.15,35.80,4.83%
金橋,6133,18.90,19.70,4.23%
富爾特,6136,22.80,26.10,14.47%
亞翔,6139,235.00,270.00,14.89%
柏承,6141,16.15,16.25,0.62%
友勁,6142,11.20,11.75,4.91%
百一,6152,13.15,12.85,-2.28%
嘉聯益,6153,14.70,16.45,11.90%
鈞寶,6155,25.80,25.15,-2.52%
華興,6164,13.80,13.35,-3.26%
浪凡,6165,42.60,45.50,6.81%
凌華,6166,80.70,84.40,4.58%
宏齊,6168,24.20,22.40,-7.44%
瑞儀,6176,190.50,198.00,3.94%
達麗,6177,43.95,46.25,5.23%
關貿,6183,88.40,94.90,7.35%
大豐電,6184,51.80,52.00,0.39%
豐藝,6189,79.50,79.10,-0.50%
精成科,6191,70.50,75.10,6.52%
巨路,6192,111.50,108.50,-2.69%
帆宣,6196,149.00,154.00,3.36%
佳必琪,6197,148.00,145.00,-2.03%
亞弘電,6201,57.00,59.60,4.56%
盛群,6202,51.10,52.80,3.33%
詮欣,6205,72.10,75.20,4.30%
飛捷,6206,90.00,165.00,83.33%
今國光,6209,27.90,32.00,14.70%
聯茂,6213,79.20,76.30,-3.66%
精誠,6214,141.00,136.50,-3.19%
和椿,6215,105.00,129.50,23.33%
居易,6216,40.50,37.25,-8.02%
聚鼎,6224,55.70,58.70,5.39%
天瀚,6225,15.00,14.25,-5.00%
光鼎,6226,8.69,8.83,1.61%
尼得科超眾,6230,189.00,184.00,-2.65%
華孚,6235,63.30,67.20,6.16%
力成,6239,122.00,132.00,8.20%
迅杰,6243,46.20,46.20,0.00%
矽格,6257,69.50,77.30,11.22%
台郡,6269,63.50,70.30,10.71%
同欣電,6271,136.00,129.00,-5.15%
宏正,6277,75.50,76.20,0.93%
台表科,6278,111.00,110.00,-0.90%
全國電,6281,82.00,80.40,-1.95%
康舒,6282,30.60,32.75,7.03%
淳安,6283,26.50,29.65,11.89%
啟碁,6285,132.50,144.00,8.68%
聯嘉,6288,26.20,26.85,2.48%
悅城,6405,32.85,30.40,-7.46%
旭隼,6409,"1,870.00","1,715.00",-8.29%
群電,6412,125.50,129.50,3.19%
樺漢,6414,294.00,319.00,8.50%
矽力*-KY,6415,413.00,461.00,11.62%
瑞祺電通,6416,112.00,120.00,7.14%
統新,6426,84.70,84.60,-0.12%
光麗-KY,6431,14.70,19.25,30.95%
迅得,6438,209.50,205.50,-1.91%
光聖,6442,572.00,514.00,-10.14%
元晶,6443,18.45,20.65,11.92%
藥華藥,6446,677.00,650.00,-3.99%
鈺邦,6449,147.00,141.50,-3.74%
訊芯-KY,6451,230.50,214.50,-6.94%
GIS-KY,6456,48.65,54.80,12.64%
台數科,6464,79.00,79.30,0.38%
保瑞,6472,756.00,881.00,16.53%
安集,6477,37.40,38.10,1.87%
晶碩,6491,378.50,385.00,1.72%
南六,6504,64.30,66.30,3.11%
台塑化,6505,36.30,40.45,11.43%
穎崴,6515,"1,115.00","1,365.00",22.42%
捷敏-KY,6525,65.00,71.90,10.62%
達發,6526,682.00,676.00,-0.88%
愛普*,6531,308.50,314.00,1.78%
晶心科,6533,412.50,414.50,0.48%
泰福-KY,6541,64.10,78.10,21.84%
北極星藥業-KY,6550,47.20,45.85,-2.86%
易華電,6552,36.40,38.15,4.81%
興能高,6558,41.00,63.50,54.88%
虹揚-KY,6573,14.85,14.20,-4.38%
研揚,6579,131.00,141.00,7.63%
鋼聯,6581,114.00,114.50,0.44%
申豐,6582,59.30,57.80,-2.53%
鼎基,6585,151.50,183.00,20.79%
動力-KY,6591,52.60,58.30,10.84%
和潤企業,6592,80.90,82.60,2.10%
ABC-KY,6598,20.15,24.35,20.84%
帝寶,6605,211.00,217.00,2.84%
建德工業,6606,26.95,27.90,3.53%
必應,6625,88.20,79.30,-10.09%
基士德-KY,6641,30.90,30.60,-0.97%
科定,6655,128.50,134.00,4.28%
華安,6657,52.20,70.60,35.25%
聯策,6658,76.00,71.00,-6.58%
羅麗芬-KY,6666,49.80,53.00,6.43%
中揚光,6668,54.10,52.50,-2.96%
緯穎,6669,"2,700.00","1,935.00",-28.33%
復盛應用,6670,328.00,344.00,4.88%
三能-KY,6671,41.80,44.00,5.26%
騰輝電子-KY,6672,64.10,81.90,27.77%
鋐寶科技,6674,23.50,23.95,1.91%
伊雲谷,6689,115.00,111.50,-3.04%
洋基工程,6691,452.50,453.00,0.11%
芯鼎,6695,64.10,61.20,-4.52%
旭暉應材,6698,38.00,36.20,-4.74%
惠特,6706,133.50,106.00,-20.60%
嘉基,6715,153.00,148.00,-3.27%
力智,6719,221.00,228.50,3.39%
澤米,6742,70.60,75.50,6.94%
安普新,6743,41.65,45.10,8.28%
龍德造船,6753,101.00,120.00,18.81%
匯僑設計,6754,65.30,65.00,-0.46%
威鋒電子,6756,125.00,131.50,5.20%
台灣虎航,6757,85.30,85.30,0.00%
志強-KY,6768,126.00,162.50,28.97%
力積電,6770,15.85,19.00,19.87%
展碁國際,6776,61.40,60.20,-1.95%
AES-KY,6781,"1,165.00",931.00,-20.09%
視陽,6782,179.00,185.00,3.35%
采鈺,6789,330.50,297.50,-9.98%
永豐實,6790,40.60,42.10,3.69%
詠業,6792,62.80,68.00,8.28%
晉弘,6796,91.00,84.00,-7.69%
來頡,6799,93.80,124.00,32.20%
富世達,6805,769.00,719.00,-6.50%
森崴能源,6806,115.50,113.50,-1.73%
峰源-KY,6807,84.60,85.40,0.95%
汎銓,6830,163.50,145.00,-11.31%
天二科技,6834,30.75,31.80,3.41%
圓裕,6835,41.20,48.10,16.75%
台新藥,6838,35.90,36.05,0.42%
睿生光電,6861,60.50,65.10,7.60%
三集瑞-KY,6862,169.50,168.00,-0.88%
永道-KY,6863,243.50,251.50,3.29%
雲豹能源,6869,173.50,174.50,0.58%
泓德能源,6873,220.50,228.50,3.63%
全福生技,6885,31.25,30.30,-3.04%
來億-KY,6890,397.00,440.50,10.96%
鑽石投資,6901,32.10,32.50,1.25%
現觀科,6906,145.00,164.50,13.45%
阜爾運通,6914,119.00,148.00,24.37%
華凌,6916,23.90,23.00,-3.77%
康霈*,6919,601.00,941.00,56.57%
中台,6923,79.90,78.40,-1.88%
攸泰科技,6928,77.20,68.70,-11.01%
AMAX-KY,6933,218.50,214.00,-2.06%
天虹,6937,365.00,308.00,-15.62%
大武山,6952,48.80,49.05,0.51%
裕慶-KY,6957,216.50,214.00,-1.15%
日盛台駿,6958,24.55,24.80,1.02%
ITH-KY,6962,51.90,60.70,16.96%
三商餐飲,7705,70.90,70.90,0.00%
LINEPAY,7722,525.00,792.00,50.86%
台通,8011,23.65,23.30,-1.48%
矽創,8016,219.00,222.00,1.37%
尖點,8021,33.50,34.65,3.43%
昇陽半導體,8028,143.00,171.00,19.58%
雷虎,8033,65.70,66.10,0.61%
台虹,8039,45.10,50.10,11.09%
達運光電,8045,95.10,146.00,53.52%
南電,8046,139.00,143.50,3.24%
長華*,8070,44.85,42.85,-4.46%
陞泰,8072,24.55,25.20,2.65%
致新,8081,234.50,243.50,3.84%
華冠,8101,18.10,18.25,0.83%
瀚荃,8103,47.90,50.70,5.85%
錸寶,8104,42.90,42.05,-1.98%
凌巨,8105,14.95,14.75,-1.34%
華東,8110,13.90,15.00,7.91%
至上,8112,59.30,63.30,6.75%
振樺電,8114,359.50,313.50,-12.80%
福懋科,8131,27.60,29.85,8.15%
南茂,8150,30.90,34.05,10.19%
達方,8163,43.30,46.05,6.35%
無敵,8201,15.80,15.10,-4.43%
勤誠,8210,271.00,295.00,8.86%
志超,8213,33.40,35.60,6.59%
明基材,8215,29.95,29.60,-1.17%
寶一,8222,38.30,39.70,3.66%
菱光,8249,58.20,62.20,6.87%
富鼎,8261,90.20,93.50,3.66%
宇瞻,8271,45.10,52.10,15.52%
日友,8341,85.20,89.20,4.69%
建新國際,8367,45.55,49.90,9.55%
羅昇,8374,137.50,123.00,-10.55%
百和興業-KY,8404,27.85,30.20,8.44%
福貞-KY,8411,12.90,13.35,3.49%
可寧衛,8422,179.00,185.00,3.35%
金麗-KY,8429,10.70,10.70,0.00%
昶昕,8438,30.25,35.00,15.70%
威宏-KY,8442,104.00,109.50,5.29%
阿瘦,8443,11.55,12.00,3.90%
富邦媒,8454,342.50,386.00,12.70%
柏文,8462,111.00,113.50,2.25%
潤泰材,8463,25.55,25.40,-0.59%
億豐,8464,411.50,448.50,8.99%
美吉吉-KY,8466,41.15,39.95,-2.92%
波力-KY,8467,300.50,272.00,-9.48%
山林水,8473,36.35,38.85,6.88%
台境*,8476,23.70,28.05,18.35%
東哥遊艇,8478,202.50,202.00,-0.25%
政伸,8481,50.10,50.50,0.80%
商億-KY,8482,89.50,107.50,20.11%
吉源-KY,8488,13.40,13.95,4.10%
鼎炫-KY,8499,117.00,147.50,26.07%
台汽電,8926,41.40,41.50,0.24%
新天地,8940,24.30,25.10,3.29%
高力,8996,315.50,320.50,1.58%
鈺齊-KY,9802,120.00,152.00,26.67%
台火,9902,15.75,15.80,0.32%
寶成,9904,37.50,38.65,3.07%
大華,9905,22.85,23.80,4.16%
欣巴巴,9906,114.50,115.00,0.44%
統一實,9907,14.90,16.10,8.05%
大台北,9908,30.20,30.65,1.49%
豐泰,9910,138.00,136.00,-1.45%
櫻花,9911,84.60,87.00,2.84%
偉聯,9912,12.05,13.00,7.88%
美利達,9914,154.00,172.50,12.01%
中保科,9917,126.50,124.50,-1.58%
欣天然,9918,39.75,39.80,0.13%
康那香,9919,18.70,19.95,6.68%
巨大,9921,143.00,158.50,10.84%
福興,9924,51.80,52.30,0.97%
新保,9925,40.85,41.25,0.98%
新海,9926,51.30,51.30,0.00%
泰銘,9927,66.00,68.80,4.24%
中視,9928,16.25,16.90,4.00%
秋雨,9929,15.60,15.80,1.28%
中聯資源,9930,67.50,70.30,4.15%
欣高,9931,34.00,34.20,0.59%
中鼎,9933,39.65,42.30,6.68%
成霖,9934,13.60,14.55,6.99%
慶豐富,9935,29.75,33.30,11.93%
全國,9937,64.40,62.30,-3.26%
百和,9938,70.30,74.60,6.12%
宏全,9939,145.50,163.00,12.03%
信義,9940,28.55,28.90,1.23%
裕融,9941,120.00,120.50,0.42%
茂順,9942,113.50,115.00,1.32%
好樂迪,9943,78.90,79.70,1.01%
新麗,9944,20.30,20.35,0.25%
潤泰新,9945,43.00,42.80,-0.47%
三發地產,9946,23.00,23.65,2.83%
佳龍,9955,29.00,30.80,6.21%
世紀鋼,9958,165.00,185.50,12.42%
茂生農經,1240,51.70,52.70,1.93%
安心,1259,63.70,64.20,0.78%
德麥,1264,311.50,335.50,7.70%
漢來美食,1268,149.50,152.00,1.67%
漢田生技,1294,96.30,89.60,-6.96%
台翰,1336,24.35,23.60,-3.08%
精華,1565,194.00,191.50,-1.29%
濱川,1569,48.90,73.70,50.72%
力肯,1570,28.65,30.55,6.63%
新麥,1580,147.00,153.50,4.42%
精剛,1584,27.85,28.80,3.41%
和勤,1586,27.10,32.50,19.93%
駿吉-KY,1591,55.60,57.60,3.60%
祺驊,1593,35.90,37.15,3.48%
川寶,1595,49.60,47.85,-3.53%
宏佳騰,1599,30.20,30.55,1.16%
台蠟,1742,17.20,17.70,2.91%
生泰,1777,94.40,98.70,4.56%
合世,1781,18.00,16.75,-6.94%
訊聯,1784,81.50,85.50,4.91%
光洋科,1785,61.40,58.90,-4.07%
杏昌,1788,139.50,145.00,3.94%
金穎生技,1796,46.10,56.50,22.56%
易威,1799,65.10,67.70,3.99%
寶利徠,1813,17.65,18.05,2.27%
富喬,1815,27.15,32.05,18.05%
唐榮,2035,30.90,32.65,5.66%
風青,2061,17.95,20.05,11.70%
世鎧,2063,33.70,37.65,11.72%
晉椿,2064,14.70,15.25,3.74%
世豐,2065,51.30,54.60,6.43%
世德,2066,88.10,97.00,10.10%
嘉鋼,2067,11.50,10.20,-11.30%
精湛,2070,74.20,67.50,-9.03%
雄順,2073,28.50,28.10,-1.40%
大甲,2221,28.85,29.35,1.73%
泰茂,2230,110.50,118.50,7.24%
謚源,2235,47.00,48.00,2.13%
綠意,2596,43.45,44.00,1.27%
大車隊,2640,128.00,137.00,7.03%
正德,2641,18.25,22.95,25.75%
捷迅,2643,75.10,76.70,2.13%
全心投控,2718,75.90,86.20,13.57%
燦星旅,2719,47.00,44.85,-4.57%
藝舍-KY,2724,37.00,35.15,-5.00%
雅茗-KY,2726,28.60,24.25,-15.21%
瓦城,2729,201.50,208.00,3.23%
六角,2732,102.00,98.90,-3.04%
易飛網,2734,26.80,26.05,-2.80%
富野,2736,21.20,21.60,1.89%
天蔥,2740,21.55,35.45,64.50%
山富,2743,104.00,102.50,-1.44%
五福,2745,107.00,109.00,1.87%
王座,2751,66.20,68.50,3.47%
豆府,2752,235.00,241.00,2.55%
亞洲藏壽司,2754,83.90,87.90,4.77%
揚秦,2755,102.00,136.50,33.82%
聯發國際,2756,68.50,77.00,12.41%
滿心,2916,50.00,56.10,12.20%
宏太-KY,2924,29.25,30.70,4.96%
誠品生活,2926,48.05,52.00,8.22%
集雅社,2937,37.85,40.45,6.87%
米斯特,2941,61.10,70.00,14.57%
振宇五金,2947,83.40,87.00,4.32%
寶陞,2948,40.60,45.90,13.05%
欣新網,2949,80.90,80.90,0.00%
泰偉,3064,67.90,64.00,-5.74%
李洲,3066,23.05,24.85,7.81%
全域,3067,30.10,29.70,-1.33%
協禧,3071,27.15,25.70,-5.34%
天方能源,3073,57.00,52.50,-7.89%
僑威,3078,72.70,87.90,20.91%
聯亞,3081,366.50,439.00,19.78%
網龍,3083,43.25,42.80,-1.04%
新零售,3085,25.30,22.15,-12.45%
華義,3086,147.00,172.50,17.35%
艾訊,3088,123.00,145.50,18.29%
港建*,3093,26.55,25.95,-2.26%
及成,3095,40.90,47.80,16.87%
穩懋,3105,107.00,115.00,7.48%
好德,3114,25.85,25.50,-1.35%
富榮綱,3115,9.19,14.10,53.43%
進階,3118,32.10,33.10,3.12%
笙泉,3122,31.05,31.50,1.45%
昇銳,3128,27.50,31.10,13.09%
弘塑,3131,"1,470.00","1,295.00",-11.90%
晶宏,3141,73.70,80.20,8.82%
大綜,3147,180.50,172.50,-4.43%
璟德,3152,178.00,167.50,-5.90%
精確,3162,38.90,50.30,29.31%
波若威,3163,158.00,166.00,5.06%
亞信,3169,102.50,112.50,9.76%
炎洲流通,3171,35.75,37.30,4.34%
基亞,3176,32.40,36.15,11.57%
公準,3178,71.00,64.10,-9.72%
鑫龍騰,3188,28.00,32.10,14.64%
雲嘉南,3191,18.10,16.80,-7.18%
樺晟,3202,5.66,6.01,6.18%
佰研,3205,30.65,33.50,9.30%
志豐,3206,42.60,44.50,4.46%
耀勝,3207,90.30,127.00,40.64%
順達,3211,214.50,177.50,-17.25%
茂訊,3213,85.80,138.00,60.84%
優群,3217,156.00,161.00,3.21%
大學光,3218,202.00,230.50,14.11%
倚強科,3219,44.00,45.45,3.30%
台嘉碩,3221,25.45,24.00,-5.70%
三顧,3224,48.05,47.00,-2.19%
龍鋒,3226,48.00,50.50,5.21%
原相,3227,245.50,276.00,12.42%
金麗科,3228,202.50,214.00,5.68%
錦明,3230,59.10,50.60,-14.38%
昱捷,3232,22.80,26.70,17.11%
光環,3234,45.05,48.80,8.32%
千如,3236,20.50,19.80,-3.41%
海灣,3252,20.30,20.25,-0.25%
鑫創,3259,21.90,21.10,-3.65%
威剛,3260,78.30,87.60,11.88%
欣銓,3264,57.60,73.50,27.60%
台星科,3265,113.00,112.00,-0.88%
海德威,3268,24.55,22.60,-7.94%
東碩,3272,27.95,27.70,-0.89%
宇環,3276,14.85,16.05,8.08%
太普高,3284,34.10,37.55,10.12%
微端,3285,27.45,26.60,-3.10%
廣寰科,3287,34.95,32.30,-7.58%
點晶,3288,20.30,21.40,5.42%
宜特,3289,136.50,134.00,-1.83%
東浦,3290,30.70,34.20,11.40%
鈊象,3293,983.00,974.00,-0.92%
英濟,3294,36.50,38.80,6.30%
杭特,3297,22.00,22.40,1.82%
岱稜,3303,50.60,57.10,12.85%
鼎天,3306,58.50,50.40,-13.85%
佳穎,3310,96.20,89.00,-7.48%
斐成,3313,15.35,15.75,2.61%
尼克森,3317,45.45,47.65,4.84%
建舜電,3322,17.85,18.55,3.92%
加百裕,3323,37.60,37.65,0.13%
雙鴻,3324,687.00,637.00,-7.28%
旭品,3325,19.65,22.10,12.47%
幸康,3332,40.50,41.50,2.47%
泰谷,3339,30.70,35.05,14.17%
寶德,3349,16.85,19.30,14.54%
律勝,3354,22.20,21.10,-4.95%
臺慶科,3357,119.50,123.00,2.93%
尚立,3360,14.20,14.60,2.82%
先進光,3362,202.50,213.50,5.43%
上詮,3363,269.50,323.00,19.85%
典範,3372,15.00,16.50,10.00%
熱映,3373,23.50,23.80,1.28%
精材,3374,202.50,181.50,-10.37%
彬台,3379,37.95,70.90,86.82%
崇越電,3388,69.10,69.30,0.29%
旭軟,3390,27.80,29.20,5.04%
漢科,3402,114.00,103.00,-9.65%
台興,3426,48.50,50.50,4.12%
奇鈦科,3430,59.20,65.80,11.15%
哲固,3434,28.45,30.00,5.45%
類比科,3438,61.90,63.10,1.94%
聯一光,3441,37.55,38.20,1.73%
利機,3444,78.10,78.70,0.77%
由田,3455,118.00,115.00,-2.54%
進泰電子,3465,55.40,68.10,22.92%
德晉,3466,57.10,63.80,11.73%
安勤,3479,91.60,112.00,22.27%
力致,3483,147.00,151.00,2.72%
崧騰,3484,58.20,64.80,11.34%
森寶,3489,27.90,30.60,9.68%
單井,3490,30.70,31.15,1.47%
昇達科,3491,359.00,435.50,21.31%
長盛,3492,23.85,27.90,16.98%
陽程,3498,57.20,55.50,-2.97%
環天科,3499,21.25,19.45,-8.47%
位速,3508,27.25,28.00,2.75%
矽瑪,3511,34.10,33.70,-1.17%
皇龍,3512,29.80,31.85,6.88%
亞帝歐,3516,23.65,23.05,-2.54%
華盈,3520,19.00,18.25,-3.95%
鴻翊,3521,18.85,16.45,-12.73%
御嵿,3522,24.80,22.70,-8.47%
迎輝,3523,20.85,24.10,15.59%
凡甲,3526,269.50,288.50,7.05%
聚積,3527,73.50,78.40,6.67%
力旺,3529,"3,140.00","2,935.00",-6.53%
先益,3531,26.25,27.60,5.14%
堡達,3537,53.60,51.50,-3.92%
曜越,3540,36.60,40.10,9.56%
西柏,3541,29.80,28.65,-3.86%
宇峻,3546,75.70,78.80,4.10%
兆利,3548,168.50,180.50,7.12%
世禾,3551,132.50,127.00,-4.15%
同致,3552,89.50,89.00,-0.56%
博士旺,3555,33.20,30.00,-9.64%
禾瑞亞,3556,40.95,42.75,4.40%
神準,3558,186.00,234.50,26.08%
其陽,3564,80.70,81.00,0.37%
逸昌,3567,30.45,32.75,7.55%
大塚,3570,175.00,191.00,9.14%
泓格,3577,62.40,74.00,18.59%
友威科,3580,84.60,86.40,2.13%
博磊,3581,50.40,49.25,-2.28%
閎康,3587,245.50,224.00,-8.76%
磐儀,3594,56.20,62.50,11.21%
映興,3597,37.50,41.05,9.47%
三一東林,3609,43.05,52.30,21.49%
鼎翰,3611,199.00,221.00,11.06%
安可,3615,28.00,28.00,0.00%
富晶通,3623,23.30,24.05,3.22%
光頡,3624,42.40,40.55,-4.36%
西勝,3625,18.40,19.00,3.26%
盈正,3628,44.70,44.60,-0.22%
地心引力,3629,19.80,19.70,-0.51%
新鉅科,3630,27.95,26.80,-4.11%
晟楠,3631,37.25,41.65,11.81%
研勤,3632,13.20,13.50,2.27%
艾恩特,3646,29.25,30.40,3.93%
鑫科,3663,71.70,69.80,-2.65%
安瑞-KY,3664,29.05,27.75,-4.48%
光耀,3666,30.15,34.45,14.26%
康聯訊,3672,19.20,20.70,7.81%
德微,3675,228.50,212.00,-7.22%
家登,3680,509.00,490.50,-3.63%
榮昌,3684,45.10,46.35,2.77%
元創精密,3685,15.10,15.85,4.97%
歐買尬,3687,91.00,89.90,-1.21%
湧德,3689,100.50,106.00,5.47%
碩禾,3691,77.00,81.00,5.19%
營邦,3693,330.00,371.00,12.42%
漢磊,3707,47.65,50.70,6.40%
鑫聯大投控,3709,29.10,29.80,2.41%
連展投控,3710,10.60,11.30,6.60%
新晶投控,3713,21.60,22.40,3.70%
永日,4102,30.80,30.75,-0.16%
東洋,4105,73.50,76.90,4.63%
邦特,4107,124.50,129.00,3.61%
加捷生醫,4109,20.20,22.40,10.89%
濟生,4111,28.10,28.80,2.49%
聯上,4113,30.25,30.50,0.83%
健喬,4114,34.30,33.45,-2.48%
明基醫,4116,47.35,50.20,6.02%
友華,4120,48.10,58.50,21.62%
優盛,4121,17.70,18.35,3.67%
晟德,4123,43.35,41.40,-4.50%
太醫,4126,95.10,90.90,-4.42%
天良,4127,42.30,39.00,-7.80%
中天,4128,32.80,33.40,1.83%
聯合,4129,92.90,94.90,2.15%
健亞,4130,20.90,24.10,15.31%
浩泰,4131,32.00,32.90,2.81%
曜亞,4138,91.30,90.50,-0.88%
馬光-KY,4139,31.00,29.40,-5.16%
中裕,4147,89.80,99.30,10.58%
鈺緯,4153,39.15,39.10,-0.13%
樂威科-KY,4154,14.40,19.60,36.11%
太景*-KY,4157,11.30,11.70,3.54%
訊聯基因,4160,69.60,71.00,2.01%
聿新科,4161,31.35,33.40,6.54%
智擎,4162,101.50,113.00,11.33%
鐿鈦,4163,114.50,110.50,-3.49%
松瑞藥,4167,21.40,20.85,-2.57%
醣聯,4168,24.60,24.35,-1.02%
瑞基,4171,27.90,28.05,0.54%
久裕,4173,21.90,22.00,0.46%
浩鼎,4174,57.90,59.80,3.28%
杏一,4175,65.50,67.80,3.51%
福永生技,4183,23.05,23.25,0.87%
安克,4188,22.25,20.70,-6.97%
杏國,4192,33.95,35.55,4.71%
欣大健康,4198,31.10,31.50,1.29%
中華食,4205,87.20,89.80,2.98%
環泰,4207,16.05,17.05,6.23%
信立,4303,49.65,61.80,24.47%
勝昱,4304,9.02,9.48,5.10%
世坤,4305,42.05,44.95,6.90%
東隆興,4401,20.10,20.85,3.73%
郡都開發,4402,23.35,27.80,19.06%
新昕纖,4406,10.80,11.05,2.31%
飛寶企業,4413,17.00,18.55,9.12%
三圓,4416,76.10,74.20,-2.50%
金洲,4417,40.45,45.40,12.24%
皇家美食,4419,50.40,48.50,-3.77%
光明,4420,53.50,57.00,6.54%
耀億,4430,22.35,23.25,4.03%
銘旺實,4432,22.40,22.90,2.23%
興采,4433,27.05,28.60,5.73%
竣邦-KY,4442,39.95,48.75,22.03%
健信,4502,18.85,19.90,5.57%
金雨,4503,50.70,63.80,25.84%
崇友,4506,102.00,107.50,5.39%
高鋒,4510,49.50,61.90,25.05%
福裕,4513,33.20,35.55,7.08%
永彰,4523,35.20,36.20,2.84%
方土霖,4527,46.80,49.55,5.88%
江興鍛,4528,22.95,23.20,1.09%
淳紳,4529,6.21,6.93,11.59%
宏易,4530,13.00,13.55,4.23%
協易機,4533,35.80,40.50,13.13%
慶騰,4534,22.80,29.55,29.61%
至興,4535,33.70,34.85,3.41%
大詠城,4538,19.35,18.75,-3.10%
晟田,4541,34.85,36.70,5.31%
科嶠,4542,90.10,90.10,0.00%
萬在,4543,40.80,39.90,-2.21%
桓達,4549,208.50,165.50,-20.62%
長佳,4550,28.60,29.45,2.97%
橙的,4554,28.50,29.20,2.46%
旭然,4556,31.75,30.60,-3.62%
寶緯,4558,32.15,33.90,5.44%
