公司,代號,股價 (50 Days ago),股價 (Today),漲幅
南僑,1702,49.55,50.80,2.52%
葡萄王,1707,147.50,150.00,1.69%
東鹼,1708,37.25,40.60,8.99%
和益,1709,20.60,21.75,5.58%
東聯,1710,14.45,15.75,9.00%
永光,1711,20.95,21.65,3.34%
興農,1712,43.40,47.45,9.33%
國化,1713,44.90,54.20,20.71%
和桐,1714,8.00,8.31,3.88%
長興,1717,28.35,28.90,1.94%
中纖,1718,7.36,7.54,2.45%
生達,1720,61.50,62.80,2.11%
三晃,1721,16.20,15.90,-1.85%
台肥,1722,50.90,54.00,6.09%
中碳,1723,92.00,99.50,8.15%
元禎,1725,36.25,37.25,2.76%
永記,1726,75.50,77.00,1.99%
中華化,1727,30.00,29.90,-0.33%
花仙子,1730,54.40,55.40,1.84%
美吾華,1731,23.00,23.85,3.70%
毛寶,1732,29.15,28.80,-1.20%
五鼎,1733,30.15,30.70,1.82%
杏輝,1734,31.00,31.45,1.45%
日勝化,1735,20.30,19.60,-3.45%
喬山,1736,190.00,166.50,-12.37%
臺鹽,1737,32.25,32.55,0.93%
南光,1752,41.35,43.40,4.96%
寶齡富錦,1760,83.60,85.80,2.63%
中化生,1762,33.45,36.10,7.92%
勝一,1773,160.00,152.50,-4.69%
展宇,1776,18.95,19.35,2.11%
和康生,1783,50.80,50.60,-0.39%
科妍,1786,112.50,124.50,10.67%
神隆,1789,22.20,23.00,3.60%
美時,1795,269.00,270.50,0.56%
台玻,1802,16.30,16.45,0.92%
寶徠,1805,16.85,15.60,-7.42%
冠軍,1806,9.60,9.84,2.50%
潤隆,1808,37.45,38.15,1.87%
中釉,1809,19.20,19.80,3.13%
和成,1810,17.05,17.05,0.00%
凱撒衛,1817,41.40,49.90,20.53%
士紙,1903,52.00,50.00,-3.85%
正隆,1904,18.95,20.25,6.86%
華紙,1905,16.60,17.15,3.31%
寶隆,1906,13.70,14.10,2.92%
永豐餘,1907,29.45,30.30,2.89%
榮成,1909,11.30,11.85,4.87%
